Celtas Cortos,Espagne,Valladolid
Cercueil,France,Lille
Certain General,Etats-Unis,New-York
Champion,Canada,Montréal
Chancha Via Circuito Feat. Miriam Garca,Argentine,Bueno Aires
Charged feat. Bill Laswell, Eraldo Bernocchi,Etats-Unis
Charles & Les Lulus,Belgique,Bruxelles
Charles Schilling,Belgique,
Charlie Cottage,France,Saint-Malo
Charlie Kane,Royaume-Uni,
Chateau Flight (feat. Gilb'r & I:Cube),France,Paris
Cheb Kader,Maroc,Paris
Chelsea,France,Paris
Cherif M'baw,Sénégal,
Chevalier Brothers,Royaume-Uni,Londres
Chicco,Afrique du Sud,Soweto
Chic Gamine,Canada,Winnipeg
Chico,France,Nancy
Chico Science & Nação Zumbi,Brésil,
Childrum,France,Rennes
China Rats,Royaume-Uni,Leeds
!!! (Chk Chk Chk),Etats-Unis ,New-York
Chocolate Donuts,France,Caen
Choream,France,
Choréam,France,Montreuil
Chris De Luca Vs Phon.o,Allemagne,
Christian Dargelos,France,Rennes
Christian Dargelos,France,Rennes
Christian Marclay,Etats-Unis,New-York
Christine,France,Rouen
Chris Whitley,Etats-Unis,Houston
Cibelle,Brésil,São Paulo
Cie 6ème dimension,France,Evry
Cie Engrenage - I Feel Good,France,Rennes
Cie Lalala Human Steps,Canada,Montréal
Cie Rêvolution,France,Bordeaux
Cinematic Orchestra,Royaume-Uni,
Cisum,France,Rennes
Citrus,France,Paris
City Kings,France ,Rennes
Cj Bolland,Belgique,
C K C,France,Rouen
Clap! Clap!,Italie,
Clap Your Hands Say Yeah!,Etats-Unis ,New-York
Clara Moto,Autriche,
Clarens,France,Rennes
Clea & Mc Leod,Royaume-Uni,Londres
Cleveland Watkiss,Royaume-Uni,Londres
Clockwork of the Moon,France,Caen
Clotaire K,Liban,Beyrouth
Clyde P,France,Paris
CNN,Royaume-Uni,Leeds
Cody ChesnuTT,Etats-Unis ,
Coeur Noir,France,Toulouse
Coldcut,Royaume-Uni,Londres
Coldcut,Royaume-Uni,Londres
Colder,France,Paris
Cold War Kids,Etats-Unis ,Fullerton
Colin James,Canada,Vancouver
Colin Stetson,Canada,Montréal
Compact Disk Dummies,Belgique,Desselgem
Compagnie Black Blanc Beur,France,Nantes
Compagnie Cool Spirit,France,
Compagnie Eskemm,France,Lorient
Compagnie Ethadam,France,
Compagnie Figure 2 Style,France,Dijon
Compagnie Khady Fofana,France,Villeneuve-la-Garenne
Compagnie Révolution,France,Bordeaux
Compagnie S'Poart,France,La Roche-sur-Yon
Compagnie Xpress,France,
Compagnie Zahrat & Top 9,France,
Complètement,France,Troyes
Complot Bronswick,France,Rennes
Complot Bronswick,France,Rennes
Complot Bronswick,France,Rennes
Complot,France ,Rennes
Compuphonic,Belgique,
Computer Jockeys,Allemagne,
Concrete Knives,France,Flers
Connan Mockasin,Nouvelle-Zélande,
Cool Freddy Jay,France ,Paris
Cop Shoot Cop,Etats-Unis,New-York
Corazon Rebelde,France,Paris
Core Dump,France,Rennes
Corman & Tuscadu,France,Nîmes
Corman & Tuscadu,France,Nîmes
Cornershop,Royaume-Uni,Leicester
Cosmic Wurst,France,Paris
Cosmogol & Barbatrax,France ,Rennes
Cosmo Sheldrake,Royaume-Uni,Londres
Costello,France,Bordeaux
Costes,France,Paris
Count Indigo,France,
Courtney Barnett,Australie,Melbourne
Courtship Ritual,Etats-Unis,New-York
Cousteau,Royaume-Uni,Londres
Cowboy Mouth,Etats-Unis,La Nouvelle Orléans
Coyote Pass,France,Brest
Cracker,Etats-Unis,
Crane Angels,France,
Crazy Town,Etats-Unis ,Los Angeles
Creature,Canada,Montréal
Croaks,France,Rouen
Crocodiles,Etats-Unis,San Diego
Crookers,Italie,
CSS (Cansei De Ser Sexy),Brésil,São Paulo
Cubist Blues (Alan Vega / Alex Chilton / Ben Vaughn Combo),Etats-Unis,New-York
CUIR! Moustache,France,
Curtis Harding,Etats-Unis,Atlanta
Curve,Royaume-Uni,Londres
Cut The Navel String,France,Angers
CWP 35,France,Rennes
Cypress Hill,Etats-Unis,Los Angeles
Daara J,Sénégal,
Daddy Yod,France,Saint-Denis
Dad Rocks!,Danemark,Arhus
Daft Punk,France ,Paris
Daft Punk,France,Versailles
Dahlia,France ,Rennes
Daisy Duck,France,Nice
Dajla,France,
Dajla,France,
Dakhabrakha,Ukraine,
Damien,France,
Dam,Palestine,
Dan Deacon,Etats-Unis ,Baltimore
Danielle Dax,Royaume-Uni,Londres
Daniel Waro,France,
Danton Eeprom,France,
Danton Eeprom,France,
Danyel Waro,France (Réunion),
Danyel Waro,France (Réunion),Réunion
Danyel Waro,France (Réunion),Réunion
Danyel Waro & Titi Robin,France (Réunion),Réunion
Daphree Phunkateerz,France,
Darjeeling Speech,France,Rennes
Darko,France,
Darlin Nikki,France ,Rennes
Darrell Wynn,Etats-Unis,
Darren Price,Royaume-Uni,Londres
Dash Rip Rock,Etats-Unis,Baton Rouge
Datarock,Norvège,Bergen
Dat Politics,France,Lille
Daughn Gibson,Etats-Unis,
Dave Clarke,Royaume-Uni,Brighton
David Holmes,Royaume-Uni,
David Krakauer & Socalled,Etats-Unis ,New-York
David Peel & The Lower East Side,Etats-Unis,New-York
David Thomas & Two Pale Boys,Etats-Unis,Cleveland
David Walters,France,Paris
Dazibao,France,Paris
DBFC,DBFC,Paris
DCA,France ,Rennes
DC Basehead,Etats-Unis,Maryland
Dead,France,
Dead Gregory's,France,Rennes
Dead Kids,Royaume-Uni,Londres
Dead Obies,Canada,Montréal
Death in Vegas,Royaume-Uni,Brentford
Debmaster,France,Angers
Deche dans Face,France ,Bordeaux
Dédé Traké,Canada,Montréal
Dee Jay Punk-Roc,Etats-Unis,New-York
Deep Dish,Etats-Unis ,Washington DC
Def Cut,Suisse,
Defek Fun,France,Rennes
De La Soul,Etats-Unis ,New-York
Del Cielo,France ,Rennes
Dellarge,Mexique,Mexico
Dels,Royaume-Uni,Londres
Demolition Doll Rods,Etats-Unis ,Detroit
Dempster Highway,France,Clermond-Ferrand
Denez Prigent,France,
